id,split,MSA,MSA Translation
10114,corpus-6-test-corpus-26-train,أين مكتب الأشياء المفقودة .,أين مكتب الأشياء المفقودة.
10116,corpus-6-test-corpus-26-train,هل هناك حافلة تذهب مباشرة إلى هناك ؟,هل هناك حافلة تذهب مباشرة إلى هناك ؟
10125,corpus-6-test-corpus-26-train,هل أحتاج لعلاج خاص ؟,هل أحتاج لعلاج خاص ؟
10129,corpus-6-test-corpus-26-train,هل سأدفع نقداً أم يضاف على الفاتورة ؟,هل سأدفع نقداً أم يضاف على الفاتورة ؟
10134,corpus-6-test-corpus-26-test,انتقلنا إلى هذا المنزل منذ عام .,انتقلنا إلى هذا المنزل منذ عام.
10155,corpus-6-test-corpus-26-train,كم سيستغرق إصدار التأشيرة لي ؟,كم سيستغرق إصدار التأشيرة لي ؟
10156,corpus-6-test-corpus-26-train,أين غرف الراحة ؟,أين غرف الراحة ؟
10160,corpus-6-test-corpus-26-train,إجمالي المبلغ المطلوب مائتان وثلاثة وأربعون جنيه ، يا سيدتي .,إجمالي المبلغ المطلوب مائتان وثلاثة وأربعون جنيه ،
10164,corpus-6-test-corpus-26-train,هذه هدية ، هل يمكن أن تلفها لي في ورق لف جميل ؟,هذه هدية ، هل يمكن أن تلفها لي في ورق
10182,corpus-6-test-corpus-26-train,ياله من منظر . إنها مسالك رائعة الجمال .,ياله من منظر. إنها مسالك رائعة الجمال.
10187,corpus-6-test-corpus-26-dev,لقد أصيب أناس .,لقد أصيب أناس.
10191,corpus-6-test-corpus-26-dev,معذرة . أين المحطة هنا ؟,معذرة. أين المحطة هنا ؟
10224,corpus-6-test-corpus-26-train,نعم ، لدينا حجز لك .,نعم ، لدينا حجز لك.
10238,corpus-6-test-corpus-26-train,معذرة أريد الذهاب إلى فندقي في المدينة بالحافلة . أين يمكن أن أستقل حافلة ؟,معذرة أريد الذهاب إلى فندقي في المدينة بالحافلة 
10243,corpus-6-test-corpus-26-test,دجاج ، من فضلك .,دجاج ، من فضلك.
10257,corpus-6-test-corpus-26-train,هذه الغرفة اثنان صفر واحد . أريد أن أطلب إفطار الغد .,هذه الغرفة اثنان صفر واحد. أريد أن أطلب إف
10272,corpus-6-test-corpus-26-test,ما رأيك في موضوع التحرش الجنسي في مكان العمل ؟,ما رأيك في موضوع التحرش الجنسي في مكان العمل ؟
10318,corpus-6-test-corpus-26-dev,عندي شقيقتان .,عندي شقيقتان.
10336,corpus-6-test-corpus-26-dev,رقم الرحلة اثنان صفر ثمانية ، إلى طوكيو .,رقم الرحلة اثنان صفر ثمانية ، إلى طوكيو 
10354,corpus-6-test-corpus-26-train,إذن دعنا نبطنها من الداخل .,إذن دعنا نبطنها من الداخل.
10366,corpus-6-test-corpus-26-test,دعنا نجتمع لنبحث الأمر أكثر .,دعنا نجتمع لنبحث الأمر أكثر.
10372,corpus-6-test-corpus-26-train,كيف تحب أن يصفف شعرك اليوم ؟,كيف تحب أن يصفف شعرك اليوم ؟
10403,corpus-6-test-corpus-26-train,هل يمكن أن تقول لي ذلك بعبارة أخرى ؟,هل يمكن أن تقول لي ذلك بعبارة أخرى ؟
10408,corpus-6-test-corpus-26-train,سوف استخدم ما يوجد عندكم .,سوف استخدم ما يوجد عندكم.
10411,corpus-6-test-corpus-26-train,نريد مائدة بالقرب من المسرح .,نريد مائدة بالقرب من المسرح.
10416,corpus-6-test-corpus-26-train,"أنا بحالة جيدة . حسنا , هل أنت ذاهب إلى مكان ما ؟","أنا بحالة جيدة. حسنا, هل أنت ذاهب"
10433,corpus-6-test-corpus-26-train,إن ارتفاعه ألفان وأربعمائة متر .,إن ارتفاعه ألفان وأربعمائة متر.
10435,corpus-6-test-corpus-26-train,ادخل . من فضلك ضعها على المائدة هناك .,ادخل. من فضلك ضعها على المائدة هناك
10440,corpus-6-test-corpus-26-train,من فضلك الغي رقم بطاقتي .,من فضلك الغي رقم بطاقتي.
10468,corpus-6-test-corpus-26-train,آسف لقد نفدت ، لكن سوف تردنا بعد بضعة أيام .,آسف لقد نفدت ، لكن سوف تردنا بعد بضعة أ
10473,corpus-6-test-corpus-26-test,هل يمكن أن أخذ بعض القهوة ؟,هل يمكن أن أخذ بعض القهوة ؟
10477,corpus-6-test-corpus-26-train,ليس لدي موعد ، لكن الأمر عاجل .,ليس لدي موعد ، لكن الأمر عاجل.
10479,corpus-6-test-corpus-26-train,إنه رديء الصنع .,إنه رديء الصنع.
10480,corpus-6-test-corpus-26-train,أين المصعد ؟,أين المصعد ؟
10497,corpus-6-test-corpus-26-train,هل لديكم كتيب حول العروض ؟,هل لديكم كتيب حول العروض ؟
10500,corpus-6-test-corpus-26-train,أين مدخل مترو الأنفاق ؟,أين مدخل مترو الأنفاق ؟
10504,corpus-6-test-corpus-26-train,لقد أضعت تذكرة الطيران الخاصة بي .,لقد أضعت تذكرة الطيران الخاصة بي.
10559,corpus-6-test-corpus-26-train,ألا تستطيع البقاء هنا خلال الإجازة ؟,ألا تستطيع البقاء هنا خلال الإجازة ؟
10562,corpus-6-test-corpus-26-train,أوه ، آسف لأني أزعجتك .,أوه ، آسف لأني أزعجتك.
10563,corpus-6-test-corpus-26-dev,هل يمكن أن تحجزوا في العرض ؟,هل يمكن أن تحجزوا في العرض ؟
10565,corpus-6-test-corpus-26-train,هل توجد غرفة استراحة عامة بالقرب من هنا ؟,هل توجد غرفة استراحة عامة بالقرب من هنا ؟
10590,corpus-6-test-corpus-26-train,ما هو الإجمالي ؟,ما هو الإجمالي ؟
10593,corpus-6-test-corpus-26-train,هذا جيد للغاية . والآن الأسئلة ، من فضلك .,هذا جيد للغاية. والآن الأسئلة ، من فضل
10599,corpus-6-test-corpus-26-train,هل لديك أية فكة لعداد الانتظار ؟,هل لديك أية فكة لعداد الانتظار ؟
10617,corpus-6-test-corpus-26-test,أكثر منتجاتنا بيعت عبر السنوات الأربع الماضية هي الآلة الناسخة طراز أ . أكس أربعة خمسة صفر .,أكثر منتجاتنا بيعت عبر السنوات الأربع الماضية هي الآلة النا
10645,corpus-6-test-corpus-26-train,هل انعطف يساراً ؟,هل انعطف يساراً ؟
10662,corpus-6-test-corpus-26-test,هل توجد مضيفات يتحدثن اليابانية ؟,هل توجد مضيفات يتحدثن اليابانية ؟
10670,corpus-6-test-corpus-26-train,سعر رائع ، أليس كذلك ؟,سعر رائع ، أليس كذلك ؟
10680,corpus-6-test-corpus-26-train,لابد أن تأخذها تسعة وتسعون مرة في اليوم ، قبل الوجبات .,لابد أن تأخذها تسعة وتسعون مرة في اليوم ، قبل الوج
10707,corpus-6-test-corpus-26-train,أحبه فعلاً .,أحبه فعلاً.
10733,corpus-6-test-corpus-26-train,أريد حامل ثلاثي .,أريد حامل ثلاثي.
10736,corpus-6-test-corpus-26-dev,أريد سترة رياضية .,أريد سترة رياضية.
10749,corpus-6-test-corpus-26-dev,يمكنك أن تمكث في منزلي .,يمكنك أن تمكث في منزلي.
10753,corpus-6-test-corpus-26-test,هل يمكن أن أرجع ظهر مقعدي إلى الخلف ، من فضلك .,هل يمكن أن أرجع ظهر مقعدي إلى الخلف ، من
10756,corpus-6-test-corpus-26-train,عظيم . كنت أبحث عن سيارة أجرة لكن هذا أفضل .,عظيم. كنت أبحث عن سيارة أجرة لكن هذا أفضل
10760,corpus-6-test-corpus-26-train,معطف رائع . هل هو صناعة بريطانية ؟,معطف رائع. هل هو صناعة بريطانية ؟
10778,corpus-6-test-corpus-26-train,أريد الذهاب إلى مركز هارفارد . هل يمكن أن تخبرني عندما نصل إلى هناك ؟,أريد الذهاب إلى مركز هارفارد. هل يمكن أن 
10790,corpus-6-test-corpus-26-train,بالغان وطفلان ، من فضلك .,بالغان وطفلان ، من فضلك.
10817,corpus-6-test-corpus-26-train,ما هو السعر ؟,ما هو السعر ؟
10824,corpus-6-test-corpus-26-train,"كان فيلم "" حرب الكواكب "" أكثر الأعمال شعبية عام ألف وتسعمائة وأربعة وثمانون .","كان فيلم "" حرب الكواكب "" أكثر الأعمال شعبية عام أ"
10830,corpus-6-test-corpus-26-train,أين قسم غير المدخنين ؟,أين قسم غير المدخنين ؟
10831,corpus-6-test-corpus-26-train,"حرف "" ت "" "" كما في توم ، نعم ها هي لدي هنا ، تارو .","حرف "" ت "" "" كما في توم ، نعم ها هي لدي "
10848,corpus-6-test-corpus-26-test,أظن أنه بديع المنظر .,أظن أنه بديع المنظر.
10851,corpus-6-test-corpus-26-test,أريد بعض التفاح ، من فضلك .,أريد بعض التفاح ، من فضلك.
10869,corpus-6-test-corpus-26-train,ما فائدة هذا ؟,ما فائدة هذا ؟
10882,corpus-6-test-corpus-26-train,أي بطاقات ائتمانية تقبلون ؟,أي بطاقات ائتمانية تقبلون ؟
10922,corpus-6-test-corpus-26-train,عندي الكثير من الوقت .,عندي الكثير من الوقت.
10930,corpus-6-test-corpus-26-train,حسنا ، إنه وقت الغداء . هل تحب أن نناقشه على الغداء ؟,حسنا ، إنه وقت الغداء. هل تحب أن نناق
10937,corpus-6-test-corpus-26-dev,لقد سرق مسجل الفيديو من غرفتي .,لقد سرق مسجل الفيديو من غرفتي.
10950,corpus-6-test-corpus-26-train,ألو ، اسمي أودا . عندي حجز الليلة ، لكن سوف أتأخر في القدوم . لهذا من فضلك اتركوا لي الحجز .,ألو ، اسمي أودا. عندي حجز الليلة ، 
10953,corpus-6-test-corpus-26-train,هل هذا الحذاء متين ؟,هل هذا الحذاء متين ؟
10955,corpus-6-test-corpus-26-test,من فضلك قل له أنني أنتظر مكالمته .,من فضلك قل له أنني أنتظر مكالمته.
10964,corpus-6-test-corpus-26-train,يقولون إن الأنفلونزا منتشرة هناك .,يقولون إن الأنفلونزا منتشرة هناك.
10973,corpus-6-test-corpus-26-train,لقد جاء لتوه .,لقد جاء لتوه.
10975,corpus-6-test-corpus-26-train,آسف . الحجز كامل لمساء الغد .,آسف. الحجز كامل لمساء الغد.
10976,corpus-6-test-corpus-26-train,أنا مع بعض الأصدقاء .,أنا مع بعض الأصدقاء.
10985,corpus-6-test-corpus-26-train,حسبما يقول جورو ، فاللسيد يامادا طفلان .,حسبما يقول جورو ، فاللسيد يامادا طفلان.
10994,corpus-6-test-corpus-26-dev,هل يمكن أن تقول ذلك ثانية ؟,هل يمكن أن تقول ذلك ثانية ؟
10997,corpus-6-test-corpus-26-train,أريد أن أعرج على برج لندن .,أريد أن أعرج على برج لندن.
11019,corpus-6-test-corpus-26-train,من فضلكم . اربطوا الأحزمة .,من فضلكم. اربطوا الأحزمة.
11027,corpus-6-test-corpus-26-test,كود المنطقة هو ثلاثة . ورقم الهاتف هو اثنان ثلاثة أربعة ثلاثة أربعة صفر صفر .,كود المنطقة هو ثلاثة. ورقم الهاتف هو اثنان 
11030,corpus-6-test-corpus-26-test,عفواً . هل يوجد أي جسر بالقرب من هنا ؟,عفواً. هل يوجد أي جسر بالقرب من هنا ؟
11041,corpus-6-test-corpus-26-dev,"معذرة , أريد استخدام غرفة الراحة .","معذرة, أريد استخدام غرفة الراحة."
11046,corpus-6-test-corpus-26-train,إنها مشغولة .,إنها مشغولة.
11047,corpus-6-test-corpus-26-test,ملابسه دائماً موضة قديمة .,ملابسه دائماً موضة قديمة.
11054,corpus-6-test-corpus-26-train,هل لديكم طعام بحري ؟,هل لديكم طعام بحري ؟
11057,corpus-6-test-corpus-26-train,هذا مكلف نوعا ما .,هذا مكلف نوعا ما.
11058,corpus-6-test-corpus-26-train,أود ذلك ، لكنني أخشى ألا أستطيع هذه المرة .,أود ذلك ، لكنني أخشى ألا أستطيع هذه
11064,corpus-6-test-corpus-26-train,حسنا ، لا أعلم بعد لكنني سوف أحاول بالتأكيد .,حسنا ، لا أعلم بعد لكنني سوف أحاول بالتأكيد
11069,corpus-6-test-corpus-26-dev,الملح من فضلك .,الملح من فضلك.
11082,corpus-6-test-corpus-26-train,من فضلك استعمل غرفة القياس هناك .,من فضلك استعمل غرفة القياس هناك.
11100,corpus-6-test-corpus-26-train,تسعون دولاراً لتذكرة الذهاب . نقداً أم بالبطاقة ؟,تسعون دولاراً لتذكرة الذهاب. نقداً أم بالبط
11109,corpus-6-test-corpus-26-dev,هل يمكن أن تخلي المنضدة لي ، من فضلك .,هل يمكن أن تخلي المنضدة لي ، من فضلك.
11123,corpus-6-test-corpus-26-train,كيف يربي الآباء اليابانيون أولادهم ؟ هل هم صارمون مع أطفالهم ؟,كيف يربي الآباء اليابانيون أولادهم ؟ هل هم صار
11126,corpus-6-test-corpus-26-train,هل يمكن أن تخبرني عن ساعات العمل ؟,هل يمكن أن تخبرني عن ساعات العمل ؟
11131,corpus-6-test-corpus-26-dev,من فضلك لفها كل على حدة .,من فضلك لفها كل على حدة.
11161,corpus-6-test-corpus-26-train,معدتي ثقيلة .,معدتي ثقيلة.
11171,corpus-6-test-corpus-26-dev,يبدو هذا جيدا ، أين يمكن أن ننتظرك ؟,يبدو هذا جيدا ، أين يمكن أن ننتظرك
11174,corpus-6-test-corpus-26-train,هل يمكن أن نبدأ اللعب عندما ينتهون ؟,هل يمكن أن نبدأ اللعب عندما ينتهون ؟
11190,corpus-6-test-corpus-26-train,تعداد سكان اليابان حوالي مائة وعشرينا مليونا .,تعداد سكان اليابان حوالي مائة وعشرينا مليونا.
11197,corpus-6-test-corpus-26-train,املأ البنود الآتية في بطاقة التسجيل .,املأ البنود الآتية في بطاقة التسجيل.
11199,corpus-6-test-corpus-26-train,هل يمكن أن أستعيد متعلقات ؟,هل يمكن أن أستعيد متعلقات ؟
11240,corpus-6-test-corpus-26-train,هل لديكم أوشحة حريرية ؟ إنني أبحث عن هدية لزوجتي .,هل لديكم أوشحة حريرية ؟ إنني أبحث عن هدية 
11246,corpus-6-test-corpus-26-train,سوف نحضرها الآن . ما هو رقم غرفتك ؟,سوف نحضرها الآن. ما هو رقم غرفتك ؟
11264,corpus-6-test-corpus-26-test,السيد كوباياشي كان يبحث عنك .,السيد كوباياشي كان يبحث عنك.
11267,corpus-6-test-corpus-26-train,أريد السفر من شنغهاي إلى هاواي بالباخرة .,أريد السفر من شنغهاي إلى هاواي بالباخرة.
11278,corpus-6-test-corpus-26-test,هل يمكن أن ترسل أحدا ؟,هل يمكن أن ترسل أحدا ؟
11282,corpus-6-test-corpus-26-train,هل تستطيع تجهيزه بحلول الخامسة من مساء الغد ؟,هل تستطيع تجهيزه بحلول الخامسة من مساء الغد 
11302,corpus-6-test-corpus-26-train,إنها تستغرق عشر دقائق سيراً على الأقدام .,إنها تستغرق عشر دقائق سيراً على الأقدام.
11316,corpus-6-test-corpus-26-train,قبل أن ننهي العمل ، هلا أعطيتني بضعة دقائق ؟,قبل أن ننهي العمل ، هلا أعطيتني بضعة دقائق ؟
11325,corpus-6-test-corpus-26-dev,أين يمكن أن أوقف سيارتي ؟,أين يمكن أن أوقف سيارتي ؟
11336,corpus-6-test-corpus-26-dev,اشعر ببرودة وتؤلمني معدتي جداً .,اشعر ببرودة وتؤلمني معدتي جداً.
11342,corpus-6-test-corpus-26-train,ويسكي وماء ، من فضلك . هل لديكم وجبة خفيفة معه ؟,ويسكي وماء ، من فضلك. هل لديكم وجبة 
11343,corpus-6-test-corpus-26-train,كيف يمكنني أن أطفأ الضوء ؟,كيف يمكنني أن أطفأ الضوء ؟
11360,corpus-6-test-corpus-26-train,هل هو مشغول جدا اليوم ؟,هل هو مشغول جدا اليوم ؟
11374,corpus-6-test-corpus-26-train,أريد بعض الخيط .,أريد بعض الخيط.
11375,corpus-6-test-corpus-26-train,"اعطني شهادة طبية , من فضلك .","اعطني شهادة طبية, من فضلك."
11378,corpus-6-test-corpus-26-train,أود تقصيره ببوصة واحدة من هذه المنطقة .,أود تقصيره ببوصة واحدة من هذه المنطقة.
11392,corpus-6-test-corpus-26-train,لا أشعر أنني على ما يرام . من فضلك اعطني بعض الدواء .,لا أشعر أنني على ما يرام. من فضلك اعط
11403,corpus-6-test-corpus-26-train,"هل يمكن أن أختر جريدة يابانية , من فضلك ؟","هل يمكن أن أختر جريدة يابانية, من فضلك "
11404,corpus-6-test-corpus-26-train,حسنا . هل يمكن أن أترك السيارة في أي مكان ؟ ما هي رسوم ركن السيارة ؟,حسنا. هل يمكن أن أترك السيارة في أي مكان 
11412,corpus-6-test-corpus-26-train,أي حافلة تذهب إلى وسط المدينة ؟,أي حافلة تذهب إلى وسط المدينة ؟
11420,corpus-6-test-corpus-26-train,هل يوجد أي قطار سريع إلى بوسطن ؟,هل يوجد أي قطار سريع إلى بوسطن ؟
11435,corpus-6-test-corpus-26-train,من فضلك كن صديقي بالمراسلة .,من فضلك كن صديقي بالمراسلة.
11438,corpus-6-test-corpus-26-dev,سأقيم مع صديق .,سأقيم مع صديق.
11442,corpus-6-test-corpus-26-train,"أنا متأثر للغاية , لا أستطيع البقاء ساكنا .","أنا متأثر للغاية, لا أستطيع البقاء ساكنا "
11449,corpus-6-test-corpus-26-train,هل يمكن أن أنزل عند فندق هيلتون ؟,هل يمكن أن أنزل عند فندق هيلتون ؟
11450,corpus-6-test-corpus-26-train,أريدك تنزعه .,أريدك تنزعه.
11457,corpus-6-test-corpus-26-train,اتجه يساراً في هذا الشارع ثم انعطف عند أول منعطف يمين .,اتجه يساراً في هذا الشارع ثم انعطف عند أول
11462,corpus-6-test-corpus-26-train,أريد أن أعرف إذا كان يمكن شحن مجموعة الأطباق هذه إلى طوكيو .,أريد أن أعرف إذا كان يمكن شحن مجموعة الأطباق 
11467,corpus-6-test-corpus-26-train,أود بعضاً من القوة الجسدية .,أود بعضاً من القوة الجسدية.
11478,corpus-6-test-corpus-26-train,ألا يوجد طعام متبل وليس حارا جدا ؟,ألا يوجد طعام متبل وليس حارا جدا ؟
11479,corpus-6-test-corpus-26-train,هل هو قريب لنصل إليه سيراً .,هل هو قريب لنصل إليه سيراً.
11491,corpus-6-test-corpus-26-dev,أريد بعض الكريم للأيدي .,أريد بعض الكريم للأيدي.
11493,corpus-6-test-corpus-26-train,هل يمكن أن تمرر لي الملح ؟,هل يمكن أن تمرر لي الملح ؟
11500,corpus-6-test-corpus-26-train,أريد الذهاب إلى وول ستريت . كيف أصل إلى هناك ؟,أريد الذهاب إلى وول ستريت. كيف أصل إلى 
11541,corpus-6-test-corpus-26-train,الكثير جداً من التمارين يضر بك .,الكثير جداً من التمارين يضر بك.
11544,corpus-6-test-corpus-26-train,بما في ذلك الإفطار ، والضريبة ، ورسم الخدمة ، سيكون الحساب خمسة أربعون دولارا للشخص الواحد في الليلة .,بما في ذلك الإفطار ، والضريبة ، ورسم الخدمة
11550,corpus-6-test-corpus-26-train,هل تستطيع تصليح هذا ؟,هل تستطيع تصليح هذا ؟
11574,corpus-6-test-corpus-26-train,مساء الخير . أهلا .,مساء الخير. أهلا.
11576,corpus-6-test-corpus-26-train,لا أستطيع العثور على أمتعتك .,لا أستطيع العثور على أمتعتك.
11595,corpus-6-test-corpus-26-train,سر مباشرة ، من فضلك .,سر مباشرة ، من فضلك.
11600,corpus-6-test-corpus-26-train,هل من المأمون شرب الماء الذي هنا ؟,هل من المأمون شرب الماء الذي هنا ؟
11622,corpus-6-test-corpus-26-train,أهه ، هيا . دولارين فقط .,أهه ، هيا. دولارين فقط.
11626,corpus-6-test-corpus-26-train,هلا بدلت هذا الفستان بآخر من مقاس أوسع ؟,هلا بدلت هذا الفستان بآخر من مقاس أوسع ؟
11631,corpus-6-test-corpus-26-train,حسنا ، هيا نذهب . أستطيع مساعدتك في واجبك المنزلي بعد أن نتناول بعض البيتزا .,حسنا ، هيا نذهب. أستطيع مساعدتك في
11633,corpus-6-test-corpus-26-train,نعم ، يا سيد تاناكا هناك رسالتان لك .,نعم ، يا سيد تاناكا هناك رسالتان لك.
11643,corpus-6-test-corpus-26-train,إنه لا يلائمني .,إنه لا يلائمني.
11646,corpus-6-test-corpus-26-train,الغد يوم آخر .,الغد يوم آخر.
11663,corpus-6-test-corpus-26-train,ربما أستطيع مساعدتك . هل تحتاج إلى فيتامين سي ؟,ربما أستطيع مساعدتك. هل تحتاج إلى فيتامين سي
11689,corpus-6-test-corpus-26-train,إن محفظتي نشلت في القطار .,إن محفظتي نشلت في القطار.
11704,corpus-6-test-corpus-26-train,إنه بعيد جداً . يحسن بك أن تأخذ سيارة أجرة .,إنه بعيد جداً. يحسن بك أن تأخذ سيارة أجرة
11708,corpus-6-test-corpus-26-train,أريد مقعداً يطل على الممر ، من فضلك .,أريد مقعداً يطل على الممر ، من فضلك 
11709,corpus-6-test-corpus-26-train,أعيش في شقة إيجارها ثمانون ألف ين في الشهر .,أعيش في شقة إيجارها ثمانون ألف ين في الشهر 
11714,corpus-6-test-corpus-26-train,هل لي أن أقاطعكم ؟,هل لي أن أقاطعكم ؟
11720,corpus-6-test-corpus-26-dev,أعرض علىّ مقاساً أكبر .,أعرض علىّ مقاساً أكبر.
11734,corpus-6-test-corpus-26-train,معذرة . هل تمانع في أن تبادل المقاعد معي ؟,معذرة. هل تمانع في أن تبادل المقاعد معي ؟
11746,corpus-6-test-corpus-26-train,نعم ، بالطبع .,نعم ، بالطبع.
11751,corpus-6-test-corpus-26-train,اذهب إلى الناحية وانعطف يساراً عند إشارة المرور .,اذهب إلى الناحية وانعطف يساراً عند إشارة الم
11754,corpus-6-test-corpus-26-dev,هل تفضل ماسكات للشعر أصغر أم أكبر ؟,هل تفضل ماسكات للشعر أصغر أم أكبر ؟
11767,corpus-6-test-corpus-26-test,أريد غرفة مفردة بحمام لقاء ثمانين دولارا ، من فضلك .,أريد غرفة مفردة بحمام لقاء ثمانين دولارا 
11800,corpus-6-test-corpus-26-train,أريد إيداع مقتنياتي الثمينة في خزينة الفندق .,أريد إيداع مقتنياتي الثمينة في خزينة الفندق.
11817,corpus-6-test-corpus-26-dev,هل لديكم غرفة متاحة الليلة ؟,هل لديكم غرفة متاحة الليلة ؟
11821,corpus-6-test-corpus-26-train,نعم ، ولكن تأكد أن تذكرتك معك .,نعم ، ولكن تأكد أن تذكرتك معك.
11862,corpus-6-test-corpus-26-train,لن ينضم للجولة الاختيارية إلا القليل من الناس .,لن ينضم للجولة الاختيارية إلا القليل من الناس.
11872,corpus-6-test-corpus-26-train,لا تهتم . على أي حال ، خذني من فضلك إلى مركز الحي الصيني . سأحاول أن أجده بنفسي .,لا تهتم. على أي حال ، خذني من فضلك إل
11879,corpus-6-test-corpus-26-train,تشغل أشخاصاً جدد في أبريل .,تشغل أشخاصاً جدد في أبريل.
11880,corpus-6-test-corpus-26-train,أرجو ذلك .,أرجو ذلك.
11885,corpus-6-test-corpus-26-train,"اثنان ويسكي مع الماء , من فضلك .","اثنان ويسكي مع الماء, من فضلك."
11901,corpus-6-test-corpus-26-train,من الذي يعزف ؟,من الذي يعزف ؟
11913,corpus-6-test-corpus-26-dev,هل يمكن أن تتصلوا بي إن عثرتم على حقيبتي ؟,هل يمكن أن تتصلوا بي إن عثرتم على حقيبتي 
11916,corpus-6-test-corpus-26-train,إلى اليسار ، من فضلك .,إلى اليسار ، من فضلك.
11932,corpus-6-test-corpus-26-test,هلا وقفت معي لالتقاط صورة ؟,هلا وقفت معي لالتقاط صورة ؟
11938,corpus-6-test-corpus-26-dev,لا . هل تحب الإبلاغ عنه ؟,لا. هل تحب الإبلاغ عنه ؟
11949,corpus-6-test-corpus-26-train,هذه السن في المقدمة تؤلمني .,هذه السن في المقدمة تؤلمني.
11959,corpus-6-test-corpus-26-train,ما هي أحدث ألعاب الكمبيوتر لفتى سنه خمسة عشر عاما ؟,ما هي أحدث ألعاب الكمبيوتر لفتى سنه خمسة عشر عام
11972,corpus-6-test-corpus-26-train,سنراك في الغد .,سنراك في الغد.
11973,corpus-6-test-corpus-26-test,هل يوجد مطعم أرخص قريب من هنا ؟,هل يوجد مطعم أرخص قريب من هنا ؟
11975,corpus-6-test-corpus-26-train,لا ، ولكن شكراً لك . إنني أشعر بتحسن .,لا ، ولكن شكراً لك. إنني أشعر بتحسن.
11976,corpus-6-test-corpus-26-train,هل لديكم أي خبز ؟,هل لديكم أي خبز ؟
11977,corpus-6-test-corpus-26-train,ما هو مستوى مهارتك في عزف الكمان ؟,ما هو مستوى مهارتك في عزف الكمان ؟
11990,corpus-6-test-corpus-26-train,لقد انزلقت قدما صديقي وسقط في الحمام .,لقد انزلقت قدما صديقي وسقط في الحمام.
11991,corpus-6-test-corpus-26-train,أريد مطفأة سجائر .,أريد مطفأة سجائر.
11997,corpus-6-test-corpus-26-train,حظرت المسيحية وأغلقت البلاد بالنسبة لبقية العالم .,حظرت المسيحية وأغلقت البلاد بالنسبة لبقية العالم.
12005,corpus-6-test-corpus-26-train,ما الكمية التي تريدها ؟,ما الكمية التي تريدها ؟
12012,corpus-6-test-corpus-26-train,خلطة جمبري لها ، وكذلك لي .,خلطة جمبري لها ، وكذلك لي.
12033,corpus-6-test-corpus-26-train,هلاّ جعلت توقيعك هنا والحروف الأولى من اسمك هنا .,هلاّ جعلت توقيعك هنا والحروف الأولى من اسمك
12035,corpus-6-test-corpus-26-train,لقد أثلج صدري زيارة مقاركم الرئيسية وكذا ما جرى بيننا من مناقشات مهمة . شكراً جزيلاً على ما أبديتموه من تعاون .,لقد أثلج صدري زيارة مقاركم الرئيسية وكذا ما جرى
12054,corpus-6-test-corpus-26-train,إن غطيطك مزعج .,إن غطيطك مزعج.
12056,corpus-6-test-corpus-26-train,إن لونها لا يروقني على الإطلاق . هلي يمكنني إرجاعها ؟,إن لونها لا يروقني على الإطلاق. هلي يمكن
12057,corpus-6-test-corpus-26-dev,اخرج من ذلك الباب ، وانتظر عند المحطة رقم ستة .,اخرج من ذلك الباب ، وانتظر عند المحطة رقم ستة
12060,corpus-6-test-corpus-26-dev,دجاج محمر ، من فضلك .,دجاج محمر ، من فضلك.
12069,corpus-6-test-corpus-26-train,هل لي في بعض الفلفل ؟,هل لي في بعض الفلفل ؟
12074,corpus-6-test-corpus-26-test,أجل أريد شيئاً أقرؤه .,أجل أريد شيئاً أقرؤه.
12101,corpus-6-test-corpus-26-train,أنا السيد تكاهاشي بالغرفة رقم خمسة تسعة وأربعين . من فضلك أرسل أربع زجاجات من بيرة بودفايزر .,أنا السيد تكاهاشي بالغرفة رقم خمسة تسعة وأربع
12131,corpus-6-test-corpus-26-train,هذه سبعون دولار .,هذه سبعون دولار.
12140,corpus-6-test-corpus-26-train,من فضلك اتصل بي في الفندق عندما تجد حقائبي .,من فضلك اتصل بي في الفندق عندما تجد حقائبي 
12150,corpus-6-test-corpus-26-train,أريد مكالمة لإيقاظي في الثامنة والصف صباح غد ، من فضلك .,أريد مكالمة لإيقاظي في الثامنة والصف صباح غد 
12167,corpus-6-test-corpus-26-train,أجل ، ولكن هذا كثير جدا ، ولقد شبعت بالفعل .,أجل ، ولكن هذا كثير جدا ، ولقد شبعت بالفعل
12172,corpus-6-test-corpus-26-train,أريد غسيلاً للفم .,أريد غسيلاً للفم.
12173,corpus-6-test-corpus-26-train,أشعر بوعكة .,أشعر بوعكة.
12182,corpus-6-test-corpus-26-train,هل تقدمون تخفيضات كبيرة ؟,هل تقدمون تخفيضات كبيرة ؟
12193,corpus-6-test-corpus-26-train,طوكيو صفر ثلاثة أربعة مرات تسعة أربعة خمسة ستة سبعة .,طوكيو صفر ثلاثة أربعة مرات تسعة أربعة 
12240,corpus-6-test-corpus-26-train,فضلا ، ساعدني في العثور على حديقة الحيوان .,فضلا ، ساعدني في العثور على حديقة الحيوان.
12246,corpus-6-test-corpus-26-train,هلا أخبرتني كيفية تعديلها من فضلك ؟,هلا أخبرتني كيفية تعديلها من فضلك ؟
12247,corpus-6-test-corpus-26-train,متى بالتقريب ستنتهي جولة الحافلة ؟,متى بالتقريب ستنتهي جولة الحافلة ؟
12254,corpus-6-test-corpus-26-train,أرني كيفية استعمال الهاتف .,أرني كيفية استعمال الهاتف.
