id,split,MSA,ALG,ALG Translation
8741,corpus-6-test-corpus-26-train,ربما كان يعاني سّدَّة تنفسية .,يقدر يكون عندو انسداد هواء.,Maybe he was ill.
8749,corpus-6-test-corpus-26-train,هل قرّرتَ ؟,قررت؟,ଆପଣ يوافق على ذلك ؟
8788,corpus-6-test-corpus-26-train,إذا كنت تودّ ، بإمكاننا الاستراحة هنا .,اذا تفضل، نقدرو نريحو هنا.,"ଯଦି أنت بحاجة لذلك, نستطيع الاست"
8791,corpus-6-test-corpus-26-test,أنا فقدت أثر بريد مسجّل .,راحلي أثر تع البريد المسجل.,أنا حذفت بريد إلكتروني.
8803,corpus-6-test-corpus-26-train,ليس بمقدورك تغيير وظيفتك بسهولة .,ماشي ساهل باش تبدل الخدمة.,ليس بإمكانك تغيير وظيفةك بسرعة.
8805,corpus-6-test-corpus-26-train,ما هي المحطة التالية ؟,واش هي المحطة المقبلة؟,Where's the next station?
8811,corpus-6-test-corpus-26-train,حسنا ، ولكن ليس منطقة المقاعد المكشوفة . فاليوم شديد الحرارة .,جيد، بصح ماشي المدرجات تع برا، السخانة بزاف اليوم.,"Okay, but not the ceiling area. Tomorrow heavy rain."
8823,corpus-6-test-corpus-26-dev,اهبط هنا ، وانتقل إلى الحافلة رقم ستة .,اهبط هنا و انتقل إلى الحافلة رقم ستة.,"ଆପଣ ଏହା, ثم اتصل إلى رقم"
8824,corpus-6-test-corpus-26-dev,علىّ أن ألحق بطائرة العاشرة صباحاً .,لازم ناخذ الرحلة تع العشرة تع الصبح.,আমি اتصل بطائرة العشرة صباحاً.
8827,corpus-6-test-corpus-26-train,مازلت أشعر بالرغبة في القيء .,راني حاس بلي راح نزيد نرقد.,আমি مازالت بحاجة إلى ألم.
8833,corpus-6-test-corpus-26-train,لا أريد أي شيء يكون كبير الحجم .,مراني حاب حتى حاجة كبيرة فالحجم.,أنا لا أريد شيء كبير الحجم.
8840,corpus-6-test-corpus-26-train,الحساب ، من فضلك .,تحقق، من فضلك.,"- Please, please."
8844,corpus-6-test-corpus-26-test,كم يكلف عش الغراب الطازج ؟,شحال يدير الفطر الطازج؟,कितية بيضة لحم ؟
8850,corpus-6-test-corpus-26-train,التكلفة ، من فضلك . هل تقبلون بطاقة فيزا ؟,الفاتورة، من فضلك. تاخذو بطاقات الفيزا؟,"- Please, please."
8851,corpus-6-test-corpus-26-train,اليوم سأذهب لأرى كيف يبدو الحيّ الصين .,اليوم، نروح نشوف كيفاش دايرة شايناطاون.,Tomorrow I'll go to see how China looks.
8880,corpus-6-test-corpus-26-train,اثنان صفر اثنان تسعة ثلاثة تسعة ستة سبعة صفر صفر .,اثنان صفر اثنان تسعة ثلاثة تسعة ستة سبعة صفر صفر.,n = n - 1 n = n - 1 
8900,corpus-6-test-corpus-26-train,أرغب في خلع أسناني .,راني حاب اناحي ضرسة.,أنا بحاجة إلى وضع أسناني.
8905,corpus-6-test-corpus-26-train,أرغب في حقيبة مستحضرات تجميل .,راني حاب حقيبة ماكياج.,أنا بحاجة إلى حقيبة منتجات النظافة.
8907,corpus-6-test-corpus-26-dev,لا أدري كم من النقود يجب علىّ تركه كبقشيش ؟,راني حاب نعرف شحال لازم نخلي للبقشيش.,أنا لا أدري كم نقد يجب عليّ تركه كبقشيش؟
8914,corpus-6-test-corpus-26-train,"أين يمكنني مشاهدة عَرْض "" شبح الأوبرا "" ؟","وين نقدر نشوف ""لوفونطوم دو لوبيرا""؟","Where can I watch ""The Opera""?"
8915,corpus-6-test-corpus-26-train,أريد شراء تذكارات لأصدقائي . أيمكن أن تُوصي ببعض منها ؟,راني حاب نشري هدايا تذكارية لصحابي. تقدر تنصحني؟,أنا بحاجة إلى تذكارات لصديقي. يمكنك أن
8918,corpus-6-test-corpus-26-train,بطريقة أبطأ ، من فضلك .,بشوية، من فضلك.,"Awesome, thanks."
8919,corpus-6-test-corpus-26-dev,ما هو متوسط أسعاركم للفاكس الدولي كل شهر ؟,شحال متوسط السعر الشهري للفاكس نحو الخارج؟,কত تكلفة الجهاز الوطني لكل شهر ؟
8947,corpus-6-test-corpus-26-train,مقلية على الجانبين ، من فضلك .,مقلي من الجهتين، من فضلك.,n'abalagba n'abalagba n'abalagba 
8966,corpus-6-test-corpus-26-dev,حسنا ، هذا يبدو واضحاً تماماً . كلاكما ، رجاءً ، أعطياني ما يخصكما من رُخص وشهادات تسجيل . وأنت يا بُني ، يؤسفني أننا مضطرون لأن نجري لك اختباراً لفحص نسبة الكحول .,حسنا، يبان واضح بزاف. أعطيوني رخصة السياقة و التسجيل دياولك. ونتايا يا راجل، سامحني لازم ندير لك فحص الكحول.,"Okay, okay, okay, okay, okay, okay, "
9011,corpus-6-test-corpus-26-train,سيكون جاهزا بعد غد في المساء .,يكون واجد بعد غدوة مع العشية.,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
9022,corpus-6-test-corpus-26-train,هل هذا مصنوع من القطن ؟,اذا مصنوع من القطن؟,Yes
9029,corpus-6-test-corpus-26-dev,عندي الدواء الخاص بي .,عندي الأدوية الخاصة بيا.,أنا لدي مسكنات الأذن.
9034,corpus-6-test-corpus-26-train,ما الذي يمكن أن أراه في هذه الجولة ؟,واش نقدر نشوف في هاذ الرحلة؟,আমি يمكن أن أراه هذا الاجتماع?
9041,corpus-6-test-corpus-26-train,"نعم , يوجد مشروب على الأقل .",ايه، كاين على الأقل مشروب واحد.,"Okay, there is only one drink."
9051,corpus-6-test-corpus-26-train,ما تكلفة هذا في اليوم ؟,شحال لنهار واحد؟,- Why do you pay this for this day?
9061,corpus-6-test-corpus-26-dev,هل تتوقف هذه الحافلة بالقرب من الفندق ؟,هاذ الحافلة تحبس عند الفندق؟,ଏହି ট্রেন ଉପରେ ଘଟିଥିବା ନ
9073,corpus-6-test-corpus-26-train,أريد اسطوانة مدمجة .,راني حاب سي دي.,I want a metallic blade.
9077,corpus-6-test-corpus-26-train,"توجد رحلات جوية على شركات جال وانا التي تقلع في الساعة العاشرة وخمسة وخمسين دقيقة . ولكن , للأسف كلتا الرحلتين محجوزتان .",كاين رحلات الخطوط الجوية اليابانية وأول نيبون لي يروحو على الحداش غير خمسة. بصح الرحلات بين زوج معمرين.,JAS JAS JAS JAS JAS JAS JAS JAS JAS 
9094,corpus-6-test-corpus-26-train,تناسبني تماما .,جاني مليح.,أنا كاملا على طبيعة.
9098,corpus-6-test-corpus-26-train,هل يمكن أن نحجز طاولة لخمسة أشخاص ؟,نقدرو نتحصلو على طاولة لخمسة أشخاص؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
9100,corpus-6-test-corpus-26-train,إنها لا تفهم الإنجليزية مطلقا .,مانفهم والو الانجليزية.,They don't understand English fully.
9126,corpus-6-test-corpus-26-dev,"من فضلك , اصرف شيكا سياحيا .",من فضلك اصرفلي شيك سفر.,"Please, leave Scotland alone."
9150,corpus-6-test-corpus-26-train,هل يمكن أن تعتني بها من الساعة التاسعة صباحا حتى الثالثة ؟,تقدر تعتني بيها من التاسعة تع الصبح حتى الثلاثة بعد الزوال تقريبا؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
9160,corpus-6-test-corpus-26-train,ما تكلفة البريد الجوي إلى اليابان ؟,شحال السعر تع البريد الجوي لليابان؟,कितनी تكلفة البريد الجوي إلى اليابان؟
9176,corpus-6-test-corpus-26-train,"لقد أُغلق علي الباب . هل يمكن أن تفتح بابي , من فضلك ؟",راني حاصل برا. تقدر تفتحلي بابي، من فضلك.,"لقد أغلق على باب. يمكنك أن تفتح بابك,"
9211,corpus-6-test-corpus-26-train,ما هي أفضل جولة حتى أرى أشهر الأماكن ؟,واش هي أفضل رحلة باش نشوف الأماكن الشهيرة؟,- Where's best vacation?
9229,corpus-6-test-corpus-26-test,هل هناك مضيفات يتحدثن اليابانية ؟,كاين مضيفة تهدر اللغة اليابانية؟,"Yes, there are native speakers in Japan?"
9242,corpus-6-test-corpus-26-test,كم حقيبة يمكن أن أحضرها معي في الطائرة ؟,شحال من ساك نقدر ندي فالطيارة؟,কত خزانة يمكنك أن أحضرها معي في الطائرة؟
9263,corpus-6-test-corpus-26-train,لا يا سيدي . هذه الظهيرة محجوزة بالكامل . ومع ذلك يمكن أن تحجز غدا .,لالا، سيدي. هاذ اليوم بعد منتصف النهار محكوم كامل. بصح غدوة مليح.,"- n'o, sɛ n'o, n'o"
9267,corpus-6-test-corpus-26-train,سأذهب كي أسأل البواب عن الأجرة المناسبة .,دوك نسقسي السعر الصحيح من البواب.,n'abal n'abal n'abal n'a
9303,corpus-6-test-corpus-26-train,أنا حقا آسف .,سامحني بزاف.,أنا حقا جميل.
9308,corpus-6-test-corpus-26-train,عندنا حفلة مساء الجمعة . لماذا لا تنضم لنا ؟,نديرو حفلة لعشية تع الجمعة. تحب تلتحق بينا؟,Nó n'ayé n'ayé n'ay
9312,corpus-6-test-corpus-26-train,"حسنا , حجرتك يا آنسة هي رقم تسعة صفر ثمانية . هذا مفتاحك .",جيد، الغرفة ديالكم هي تسعمئة و ثمانية يا آنساتي. هاكو المفتاح ديالكم.,"Bonjour, eza n'o n'o n'o n"
9316,corpus-6-test-corpus-26-dev,من المهم جدا أننا نستطيع الوصول إلى المواد الخام التي نحتاجها في المشروع .,بزاف مهم نقدرو نوصلو إلى المعدات الأساسية اللازمة للمشروع.,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
9324,corpus-6-test-corpus-26-train,"معذرة , ضابط ؟",عفوا، سيدي الضابط؟,"Sorry, officer?"
9325,corpus-6-test-corpus-26-train,هل هذا القطار يتجه مباشرة إلى إدنبره ؟,هاذ القطار يروح مباشرة إلى ايدينبرا؟,"Yes, this plane is heading to Edinburgh?"
9329,corpus-6-test-corpus-26-train,هل يدخل هذا في حدود المعفي من الضرائب ؟,اذا ضمن الإعفاء من الطاكس؟,Yes
9337,corpus-6-test-corpus-26-train,"أخرج متعلقاتي الثمينة , من فضلك .",خرجلي الأغراض المهمة، من فضلك.,"Remove noodles, please."
9358,corpus-6-test-corpus-26-train,كيف يكون الزحام في مثل تلك الجولات ؟,كاين بزاف الغاشي فالرحلة؟,كيف يكون الزحام في مثل هذه المناسبات؟
9367,corpus-6-test-corpus-26-train,أود أن أشتري بعض التذكارات . هل يوجد هنا محل مناسب ؟,راني حاب نشري هدايا تذكارية. كاين محل لهاذ الشي فالنواحي؟,wanna buy some souvenirs. Does there be a place for me?
9372,corpus-6-test-corpus-26-train,إلى متى تظل مفتوحة ؟,حتى لوقتاش يبقى مفتوح؟,n'o n'o n'o n'o n'
9384,corpus-6-test-corpus-26-train,إنه في الخارج الآن .,خرج دوكا.,n'o n'o n'o n'o n'
9385,corpus-6-test-corpus-26-train,"مايومي , هل تسمح أن تملأ هذه الورقة بتوقيعك ؟",مايومي، تقدر تعمرلي هاذ الورقة بالإمضاء ديالك؟,"Okay, okay, could you wrap this letter with your signature?"
9431,corpus-6-test-corpus-26-train,إليك إحداها يا سيدي .,هاهو واحد ليك، سيدي.,- n'a n'a n'a n'a 
9432,corpus-6-test-corpus-26-train,ليس لدي أمتعة للتفتيش .,ماعندي حتى متاع نسجلوا.,আমি لست بحاجة لحضور الاجتماع.
9446,corpus-6-test-corpus-26-test,"بالتأكيد , كن على راحتك .",أكيد، خوذ وقتك.,"طبعاً, ابق على راحتك."
9450,corpus-6-test-corpus-26-train,أنا هنا في مهمة إعلامية .,راني هنا في مهمة إعلامية.,أنا هنا في الإعلانات.
9463,corpus-6-test-corpus-26-train,هل لديكم أفلام للصيف ؟,عندكم أفلام تع الصيف؟,ଆପଣ لديكم فلام لسنة ؟
9481,corpus-6-test-corpus-26-train,متى يأتي القطار التالي المتجه إلى واشنطن العاصمة ؟,وقتاش القطار الموالي لواشنطن دي سي؟,कब يصل القطار التالي المتجه إلى واشنطن العاصمة 
9494,corpus-6-test-corpus-26-test,الملابس الطويلة هي الموضة الآن .,الطوال هما لي راهم مشهورين دوكا.,الأكمام الطويلة - ଆମେ ଆମେ ଆମେ
9516,corpus-6-test-corpus-26-train,سأعود إلى اليابان الاثنين المقبل .,نعاود نروح لليابان الاثنين الجاية.,আমি غدا n'oge n'oge n'oge
9526,corpus-6-test-corpus-26-train,هل يمكنني الحصول على خريطة للمترو ؟,نقدر نتحصل على مخطط الميترو؟,আমি يمكنني بناء خريطة لنقل الطيران؟
9542,corpus-6-test-corpus-26-train,هل هو طريق طويل ؟,اذا الرحلة طويلة؟,- n'est-ce pas long?
9560,corpus-6-test-corpus-26-train,هل يمكنك تبديل هذه بواحدة جديدة ؟,تقدر تبدلي هاذا بواحد جديد؟,ଆପଣ يمكنك تغييرها ؟
9576,corpus-6-test-corpus-26-train,شخصان .,شخصين.,ব্যক্তি.
9579,corpus-6-test-corpus-26-test,أين يمكنني أن أستعيد أمتعتي ؟,منين نقدر نجيب الأمتعة دياولي؟,Where can I leave my pleasures?
9581,corpus-6-test-corpus-26-train,لا أشعر براحة . هل يمكنني حني مقعدي ؟,مانيش حاس روحي مليح. نقدر نميل المقعد ديالي؟,أنا لست بحاجة لذلك. يمكنك فتح مكان
9604,corpus-6-test-corpus-26-train,الساعة الحادية عشر وخمس وأربعون دقيقة في الصباح .,الساعة الحادية عشر وخمسة وأربعون.,8:30 - 4:30 pm - 7:00 pm
9605,corpus-6-test-corpus-26-train,هلا أرشدتني إلى مطعم مفضل بين الشبان ؟,تقدر تقولي على مطعم شائع بين الشباب؟,'Ezali n'azali n'azali n'azali
9606,corpus-6-test-corpus-26-train,كانت سيارته تسير بكامل سرعتها .,السيارة ديالو متوجهة بأقصى سرعة.,كانت السيارة تعمل بكامل السرعة.
9611,corpus-6-test-corpus-26-dev,هل بإمكاني ترك رسالة ؟ إنني أتصل للتأكيد على موعدي مع السيد إيبرت الأربعاء المقبل في الحادية عشرة صباحاً .,نقدر نخلي رسالة؟ راني نتصل باش نأكد على الموعد مع السيد أيبرت الأربعاء المقبل على الساعة الحادية عشر تع الصبح.,Should I send a message? I'll call tomorrow at 8:30 pm.
9628,corpus-6-test-corpus-26-dev,هل يمكنك بطريقة ما أن تصف لي مرضك بالإنجليزية ؟,تقدر تشرحلي المرض ديالك بالانجليزية؟,ଆପଣ يمكنك بطريقة ما أن تصف لي مرضك بالإنجليزي
9634,corpus-6-test-corpus-26-test,هلا أرسلت تاكسي إلى المدخل الرئيسي لـ ويستمانستر مول ؟,تقدر تبعثلي طاكسي للدخلة الرئيسية تع مركز واستمينستر؟,'E n'a e n'a e n'a
9651,corpus-6-test-corpus-26-train,كم عدد المرات التي سأغير فيها القطارات للوصول إلى هناك ؟,شحال من مرة لازم نبدل القطار باش نوصل لتمة؟,কত مرات سأتغيير طائراتك للوصول إلى هناك 
9657,corpus-6-test-corpus-26-train,هل هذا صواب ؟ دعني أتحقق . أوه ، أسف بشدة آنسة تاكاناو . هذا خطأنا . إليك فاتورتك الجديدة . هلا تفضلت بالتوقيع هنا ، من فضلك ؟,صاح؟ خليني نتحقق. أوه، راني نعتذر بشدة، آنسة طاكانو. هاذي غلطة من عندنا. هاذي فاتورتك الجديدة. تقدري تمضي هنا، من فضلك؟,"Okay, okay, okay, okay, okay, okay, "
9673,corpus-6-test-corpus-26-train,الباقي خمسة دولارات ، من فضلك .,رجعلي خمسة دولار، من فضلك.,- - - - - - - - - 
9683,corpus-6-test-corpus-26-train,سدادة حوض الاستحمام لا تقفل بالكامل .,لغلاق تع البينواغ ميتضبطش كامل.,नल حمام ليس كاملاً فتحًا.
9687,corpus-6-test-corpus-26-train,إنها مجرد هدية تعبيرا عن تقديري .,هذه لفتة متواضعة باش نعبر عن شكري.,ଏହା ଏକ ফুল ফুল ফুল ফুল ফুল ফুল
9688,corpus-6-test-corpus-26-train,هلا ملأت هذا النموذج ؟,تقدر تعمرلي هاذ ااستمارة؟,"Okay, anyone took this item?"
9695,corpus-6-test-corpus-26-test,ماذا عن هذه النماذج البلاستيكة ؟,واش رايك في هاذ النماذج من البلاستيك؟,কেন هذه النماذج البلاستيكة ؟
9701,corpus-6-test-corpus-26-train,ما هي الماركات التي توجد لديك ؟,واش من طراز عندكم؟,Where are you located?
9702,corpus-6-test-corpus-26-train,الكعب عالي جدا بالنسبة لي .,الكعب بزاف عالي عليا.,Awesome balls for me.
9710,corpus-6-test-corpus-26-test,اقفل الباب من الداخل وأنا خارج الغرفة .,راني حاصل خارج الغرفة ديالي.,أنا বাই غرفة.
9730,corpus-6-test-corpus-26-train,كم المدة التي قضيتها في باريس ؟,من وقتاش وانت في باريس؟,কত ساعة كانت لديك في بريطانيا؟
9732,corpus-6-test-corpus-26-train,هل يمكنني الحصول على طوابع بريدية لثلاث بطاقات بريدية جوية لليابان ؟,نقدر نتحصل على طوابع بريدية لثلاثة بطاقات بريدية نبعثهوم لليابان بالبريد الجوي؟,আমি يمكنني دفع ثلاث بطاقات بريدية جوية للي
9746,corpus-6-test-corpus-26-train,تتهجي جي أوه آر أوه اتش .,يتكتب ج-و-ر-و-ه.,g = g.a.r.
9747,corpus-6-test-corpus-26-train,هل تبغي شراباً ؟,راك حاب كاش حاجة تشربها؟,ଆପଣ يمكن أن يستخدم شرابًا؟
9748,corpus-6-test-corpus-26-train,استلقي هنا .,اتكسل هنا.,n'ayé n'ayé n'ayé 
9752,corpus-6-test-corpus-26-train,اجعلها برقية عاجلة ، من فضلك .,ارسل هاذ البرقية عاجلا، من فضلك.,أضف قطعة معدنية عاجلة.
9788,corpus-6-test-corpus-26-train,طبقاً لتقرير الطقس ، فإن غداً سيشهد سقوط جليد .,على حساب حالة الجو، راح يصب الثلج غدوة.,""""""" """""" """""" """""" """""""
9792,corpus-6-test-corpus-26-train,أبغي كرة .,راني حاب كرة.,n'abal n'abal.
9822,corpus-6-test-corpus-26-train,بكل تأكيد . سنكون سعداء لفعل هذا .,أكيد. رانا سعداء كي نديروه.,"Okay, we're very happy to do that."
9829,corpus-6-test-corpus-26-train,هاي ، كتاب كوميدي ماليزي . سأشتري واحداً لآخذه إلى المنزل كقطعة محادثة .,أه، رسوم كرتون على ماليزيا. دوك نشري واحدة باش نديها للدار. راح تدير موضوع هايل تع قسرة.,"ee, ee, ee, ee, ee"
9862,corpus-6-test-corpus-26-train,"الطريق إلى النجاح هو "" جينمياكو "" حقاً ؟","طريق النجاح هو ""جينمياكو""، هكذا؟","""Ginniako"" e n'o n'o n'o"
9866,corpus-6-test-corpus-26-dev,سأصل إلى فندقكم في حوالي الساعة التاسعة مساءاً .,نوصل للفندق ديالكم على الساعة التاسعة ونص ليلا.,আমি ଆମେ ଆସতে ଆସতে ଆମେ 
9885,corpus-6-test-corpus-26-train,يوجد لدى حوالي ألفي وخمسمائة دولار بالين الياباني .,عندي حوالي ألفين و خمسمئة دولار ين ياباني.,Ɛlɛɛ nɔ́ nɔ́ nɔ́ nɔ
9903,corpus-6-test-corpus-26-train,نعم ، نحن تفعل . سأريك بعضاً .,إيه. دوك نوريهولك.,"Okay, we do it. I'll leave some."
9906,corpus-6-test-corpus-26-train,أبغي بعض الأقراص المنومة .,راني حاب حبوب منومة.,أنا أفضل بعض الأدوية.
9910,corpus-6-test-corpus-26-train,سأكون هنا حتى التاسعة . يحدوني الأمل أن تتمكن من القبض على المجرم في أقرب وقت ممكن .,راني هنا حتى التاسع. نتمنى تحكمو المجرم بأقصى سرعة.,আমি هنا until 11:35. أنا تمنحك الثقة أن 
9945,corpus-6-test-corpus-26-train,إنني على يقين أن المجرم قريب .,راني متأكد بلي المجرم ماهوش بعيد.,أنا على وعي بأن رجل قريب.
9948,corpus-6-test-corpus-26-train,عشرة طوابع من فضلك .,عشرة طوابع، من فضلك.,twenty feet of advice.
9949,corpus-6-test-corpus-26-train,أصبت بالتهاب في الحلق .,حلقي وجعني.,أنا رأيت ألم في حلق.
9955,corpus-6-test-corpus-26-train,احتاج إلى بعض الهدايا التذكارية من نيويورك .,نسحق ذكريات من نيويورك.,ଆପଣ بعض تذكارات تذكارية من نيويورك.
9969,corpus-6-test-corpus-26-train,إنني أسجل لخروجي من الفندق . هلا أرسلت خادماً إلى أعلى ؟,راني رايح. تقدر تعيط لحمال يجي؟,"Okay, wanna go to the hotel?"
9979,corpus-6-test-corpus-26-train,توقفت ساعتي .,الساعة ديالي حبست.,توقفت ساعة.
9983,corpus-6-test-corpus-26-train,أوه ، أهي كذلك ؟ كيف تفضلها ؟,أوه، حقاً؟ كيفاش تحبو؟,"Okay, okay, why do you like them?"
10006,corpus-6-test-corpus-26-train,نحن نفتح في التاسعة صباحاً .,نفتحو على الساعة التاسعة صباحا.,Nós n'abalɔ n'abalɔ n'a
10032,corpus-6-test-corpus-26-train,أريد كتاب تلوين .,راني حاب كتاب تلوين.,I want to write a book.
10037,corpus-6-test-corpus-26-train,أظن أنني مصاب بدوار الجو جواً .,نظن بلي عندي دوار الجو.,I think I'm sick of a hail.
10043,corpus-6-test-corpus-26-train,هل يجب أن أذهب على بنك ياباني ؟,لازم نروح لبنك ياباني؟,Should I go to Japanese bank?
10045,corpus-6-test-corpus-26-train,يجب أن تغير النقود من البنك .,لازم تبدل الدراهم دياولك في بنك.,必须 تغيّر أموالك من البنك.
10065,corpus-6-test-corpus-26-train,هل لدينا وقت كاف لإنهاء إجراءات المغادرة ؟,مازال كاين بزاف الوقت قبل الانطلاق؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
10069,corpus-6-test-corpus-26-train,زوجك أحد أفضل عملائنا .,زوجك هو من أفضل الزبائن دياولنا.,زوجك أحد أفضل أعمالنا.
10078,corpus-6-test-corpus-26-train,هل تعرف طبيب أسنان جيد ؟,تعرف طبيب أسنان مليح؟,"Yes, you know a good dentist?"
10084,corpus-6-test-corpus-26-train,أوه ، يجب أن تخطر القنصلية على الفور .,أوه. لازم تعلم السفارة فالحين.,"Okay, o n'a n'a n'a n"
10091,corpus-6-test-corpus-26-train,مهزوز ، وليس مضروب .,بالغربال، و ماشي بالملعقة.,- n'o n'o n'o n'o 
10098,corpus-6-test-corpus-26-dev,هل تود منضدة في المطعم الرئيسي أو في غرفة خاصة يا سيدي ؟,راك حاب طاولة في مطعم ولا في قاعة خاصة، يا سيدي؟,ଆପଣ ଆପଣ ଏକ ସ୍ଥାନ ନିଜ
10102,corpus-6-test-corpus-26-train,يذهب عدد كبير من الناس إلى الشاطئ خلال الموسم .,بزاف الغاشي يروحو للشاطئ فالموسم.,ছুইডেন বাই ছুইডেন বাই ছুইডেন বাই 
10107,corpus-6-test-corpus-26-train,وزني حوالي مائة وخمسين رطلاً .,نوزن حوالي مئة وخمسون رطل.,وزني حوالي مائة وخمسين رطلاً.
10111,corpus-6-test-corpus-26-train,إلى أين يجب علي أن أنقل ؟,وين لازم ندي الرسالة ديالي؟,Where do I need to send?
10114,corpus-6-test-corpus-26-train,أين مكتب الأشياء المفقودة .,وين جاي المكتب تع الأشياء المفقودة؟,Where is the missing items.
10116,corpus-6-test-corpus-26-train,هل هناك حافلة تذهب مباشرة إلى هناك ؟,كاين حافلة لي تروح مباشرة؟,"Yes, there is a bus going to be there?"
10125,corpus-6-test-corpus-26-train,هل أحتاج لعلاج خاص ؟,اذا نحتاج إلى علاج خاص؟,Should I need a special treatment?
10129,corpus-6-test-corpus-26-train,هل سأدفع نقداً أم يضاف على الفاتورة ؟,نقدا ولا ببطاقة الخصم؟,আমি سوف أدفع نقداً أم يضاف على الفاتورة؟
10134,corpus-6-test-corpus-26-test,انتقلنا إلى هذا المنزل منذ عام .,انتقلنا إلى هاذ البيت عندها عام.,Nó n'abalɔ n'abalɔ n'abal
10155,corpus-6-test-corpus-26-train,كم سيستغرق إصدار التأشيرة لي ؟,شحال من وقت لازم باش تديرلي بطاقة فيزا جديدة؟,কত ساعة ينتظر توقيع الزيارة؟
10156,corpus-6-test-corpus-26-train,أين غرف الراحة ؟,وين نصيب المرحاض؟,Where are the rooms?
10160,corpus-6-test-corpus-26-train,إجمالي المبلغ المطلوب مائتان وثلاثة وأربعون جنيه ، يا سيدتي .,المبلغ الإجمالي مئتين وثلاثة وأربعون جنيه، يا مدام.,"ଆପଣଙ୍କ ପାଖରେ ৫০ دولار, Madam."
10164,corpus-6-test-corpus-26-train,هذه هدية ، هل يمكن أن تلفها لي في ورق لف جميل ؟,هاذي هدية. تقدر تغلفهالي في ورق تغليف شباب؟,"Awesome gift, could you forget it in a lovely paper?"
10182,corpus-6-test-corpus-26-train,ياله من منظر . إنها مسالك رائعة الجمال .,منظر شباب. هي منتزهات روعة.,Awesome images.
10187,corpus-6-test-corpus-26-dev,لقد أصيب أناس .,كاين مصابين.,لقد قتل أهل.
10191,corpus-6-test-corpus-26-dev,معذرة . أين المحطة هنا ؟,المعذرة. وين جاية المحطة؟,Sorry. Where is the station?
10224,corpus-6-test-corpus-26-train,نعم ، لدينا حجز لك .,إيه، عندنا حجز ليك.,"Okay, we'll take you."
10238,corpus-6-test-corpus-26-train,معذرة أريد الذهاب إلى فندقي في المدينة بالحافلة . أين يمكن أن أستقل حافلة ؟,المعذرة، راني حاب نروح بالحافلة للفندق ديالي فالمدينة. وين نقدر نصيبها؟,"Sorry, wanna go to a hotel in town by a bus. Where"
10243,corpus-6-test-corpus-26-test,دجاج ، من فضلك .,دجاج، من فضلك.,- n'abal!
10257,corpus-6-test-corpus-26-train,هذه الغرفة اثنان صفر واحد . أريد أن أطلب إفطار الغد .,الغرفة مئتين وواحد. راني حاب نطلب فطور الصباح.,এই غرفة ليست صفر واحدة. أريد أن أطلب إف
10272,corpus-6-test-corpus-26-test,ما رأيك في موضوع التحرش الجنسي في مكان العمل ؟,واش رايك فالتحرش الجنسي في أماكن العمل؟,أنت رأيت كيفية الاعتداء الجنسي في مكان العمل؟
10318,corpus-6-test-corpus-26-dev,عندي شقيقتان .,عندي أختين.,أنا لدي ابنة.
10336,corpus-6-test-corpus-26-dev,رقم الرحلة اثنان صفر ثمانية ، إلى طوكيو .,رقم الرحلة مئتين و ثمانية، لطوكيو.,eleven - eleven - eleven - eleven - eleven 
10354,corpus-6-test-corpus-26-train,إذن دعنا نبطنها من الداخل .,إذن، نعمروه من الداخل.,"Okay, we'll leave them from the inside."
10366,corpus-6-test-corpus-26-test,دعنا نجتمع لنبحث الأمر أكثر .,ننجحوا في تعميق السؤال.,Nós n'abalagba n'abalagba n'a
10372,corpus-6-test-corpus-26-train,كيف تحب أن يصفف شعرك اليوم ؟,كيفاش راك حاب نمشط اليوم؟,كيف تريد غسلها اليوم؟
10403,corpus-6-test-corpus-26-train,هل يمكن أن تقول لي ذلك بعبارة أخرى ؟,تقدر تديرلو إعادة صياغة بكلام واحد وأوخر؟,ଆପଣ يمكنك أن تقول لي ذلك بعبارة أخرى
10408,corpus-6-test-corpus-26-train,سوف استخدم ما يوجد عندكم .,نعمل بواش عندك.,أنا سوف أستخدم ما موجود عندكم.
10411,corpus-6-test-corpus-26-train,نريد مائدة بالقرب من المسرح .,رانا حابين طاولة قريبة من منصة العرض.,ଆପଣ ଆପଣ ଏକ ପାଖ قريب من ସ୍
10416,corpus-6-test-corpus-26-train,"أنا بحالة جيدة . حسنا , هل أنت ذاهب إلى مكان ما ؟",راني مليح. حسنا، تروح لكاش مكان؟,"أنا بحاجة جيد. حسنا, أنت ذاهب إل"
10433,corpus-6-test-corpus-26-train,إن ارتفاعه ألفان وأربعمائة متر .,رانا على ارتفاع ألفين و أربعمئة متر.,Ɛnɛ nɔ́ nɔ́ nɔ́ nɔ
10435,corpus-6-test-corpus-26-train,ادخل . من فضلك ضعها على المائدة هناك .,ادخل. تقدر تحطوا على الطاولة هنا.,n'abal n'abal n'abal n'a
10440,corpus-6-test-corpus-26-train,من فضلك الغي رقم بطاقتي .,تقدر تلغي رقم البطاقة ديالي.,Please forget my telephone number.
